card-title,card-desc,card-img-url,card-category,card-category-desc,parent-category,parent-category-desc
Cheese Wedge,"Cheese is a term used for a variety of milk-based food products. Cheese can come from a variety of milk sources including cows, buffalo, sheep, and goats milk. A cheese wedge is a hunk of cheese cut from a cheese wheel and is reminiscent in shape to a slice of cake.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608956/cheese-wedge_xn5fy0.png",Snacks and More,"Food that can be classified in numerous categories, with a main focus on snack foods.",Foods,"Delicious foods, including deserts and snacks."
Play Video Game,"The act of playing a video game, which is an electronic game that involves human interaction through a user interface, usually a game controller.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/play-video-game_bi7lit.png",Entertainment,"Entertainment refers to actions, activities, or events that are designed with the purpose of entertaining. This category includes everything from video games to watching movies.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Night,"The period of time that falls between sunset and sunrise is night, or nighttime.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/night_m4mwq4.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Blowing,Blowing is the expulsion of air from the airways to the external environment. There are a variety of reasons someone may choose to blow. Sometimes it's used as a method to calm oneself (exhaling in deep breaths). Other times someone may blow on their food to cool it.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608185/blowing_eklzbt.png",General Actions,All actions that do not fall into one of our specific categories. This is the catch all that contains most action related activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Piggyback Ride,A piggyback ride is a fun method of transportation that involves one person climbing onto the back of another. The transportee wraps their arms around the neck of the transporter while his or her legs are held securely in place.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/piggyback-ride_timvwi.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Pineapple,"Pineapples are tropical plants with edible inside their pine cone like exterior. Pineapple is consumed in many forms, including fresh, juiced, or canned.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/pineapple_pwhmkt.png",Fruit,Anything that falls into the fruit category.,Foods,"Delicious foods, including deserts and snacks."
Time Permitted,"Time permitted means When Time Allows, typically referring to the time that it takes for a response or action to be executed in relation to the request. This phrase is typically used when someone is busy at the moment and cannot provide immediate action or response.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/time-permitted_wpdldp.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Christmas,Christmas is an annual religious holiday that falls on the 25th of December and celebrates the birth of Jesus Christ. One of the core aspects of Christmas is the tradition of gift giving.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578609181/christmas_cfjddg.png",Holidays,"A holiday is a designated day of special significance that celebrates religion, individuals, military, or government.  Some holidays, such as Christmas, are considered non-working holidays for the general population.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Play Cymbal,"The act of playing a drum cymbal involves the use of a specially designed mallet to strike the cymbal. When played, cymbals have a sustained sound of indefinite pitch, with the size of the cymbals affecting the pitch and response rate. Cymbals are usually part of a drum kit.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/play-cymbal_gn3qld.png",Music,"Music is a form of art where sound is the common medium. Music consists of tempo, pitch, and rhythm. Music plays an important part of many cultures and can combine both song and instrumentals.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Winter Coat,"A coat is a garment worn by both men and women for the purpose of warmth or for fashion. Coats typically have long sleeves and fasteners, such as a zipper or buttons.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/winter-coat_yarqz8.png",Upper Body,"Clothing worn on the upper body, such as scarfs or shirts.",Clothing,"Articles of clothing that can be worn on various parts of the body, such as the head or feet."
Duck,"A duck is a common bird that belongs to the Anatidae family, a family which also includes geese and swans. Ducks are distinguished by their feathers and webbed feet and broad bill.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/duck_wbxebv.png",Birds,Animals that belong to the bird kingdom.,Animals,"Animals of all types, including pets and zoon animals."
Refrigerator,"A refrigerator, often referred to as a fridge for short, is a common household appliance that is used to chill beverages and prevent the spoilage of foods. Refrigerators are thermally insulated to keep their interior chambers cooled to a temperature lower than room temperature, typically 37 degrees.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/refrigerator_gtw3uk.png",Kitchen,Items and activities that take place or are found in and around the kitchen.,Household,Objects and artefacts that can be found inside the home.
Gifts,"A gift, also called a present, is something that is given from one person to another. Gifts are given freely without the expectation of repayment or reciprocation. Perhaps the most prevalent time of year for gift giving is during the Christmas holiday season.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/gifts_rf75zu.png",Holidays,"A holiday is a designated day of special significance that celebrates religion, individuals, military, or government.  Some holidays, such as Christmas, are considered non-working holidays for the general population.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
People,More than one person that collectively make up a group.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/people_yv6itj.png",Groups,One or more people together making up a group.,People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
School,"A school is an institution that is designed for teaching. The formal education system of most countries requires that students progress through a series of grade levels in order to achieve graduation. As students progress, they often advance to a new school that is grade level appropriate.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/school_kx7fcp.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Please,"Used as a polite way to request something, such as performance of a task or requesting a physical object.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/please_rgwsnv.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
No Hitting,Hitting is the act of directing a physical attack with an intent to cause bodily harm though bunt trauma or penetrating trauma upon another individual.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/no-hitting_pqrr4s.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Spring,"Spring is one of the four temperate seasons, the transition period between winter and summer. Spring and ""springtime"" refer to the season, and broadly to ideas of rebirth, renewal and regrowth.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/spring_sa7jrn.png",Seasons,"A season is a division of the year, marked by changes in weather, ecology, and hours of daylight. Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.",Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Loaf of Bread,"Bread is a common food that is prepared by cooking a dough that typically consists of water, flour, and yeast. The method of cooking varies across cultures and cuisines and can be baked, fried, steamed, or grilled (among other preparations).","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/loaf-of-bread_w9ngni.png",Snacks and More,"Food that can be classified in numerous categories, with a main focus on snack foods.",Foods,"Delicious foods, including deserts and snacks."
Picking nose,"Nose picking is the act of removing dried nasal mucus from the nostril with ones finger. Although nose picking is a habit that is quite common, it often provokes feelings of disgust from observers and is considered an unhygienic habit.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/picking-nose_ahoshc.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Cat,"Cats are small, furry creatures that are mostly domesticated. Housecats are kept as indoor pets and are valued by humans for their companionship and their ability to hunt household pests.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608825/cat_p7eirz.png",Mammals,"Mammals are members of class Mammalia, air-breathing vertebrate animals.",Animals,"Animals of all types, including pets and zoon animals."
Sundae,"The sundae is an ice cream dessert. It typically consists of a scoop of ice cream topped with sauce or syrup, and in some cases other toppings including chopped nuts, sprinkles, whipped cream, or maraschino cherries.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/ice-cream-sundae_bmdwot.png",Desserts,"Delicious desserts, including cakes and pies.",Foods,"Delicious foods, including deserts and snacks."
Ok,"A gesture or word indicating approval, acceptance, agreement, or acknowledgement. Also spelled ""okay"" or ""O.K."", the word can also refer to something being adequate as opposed to good or great.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/ok_l4kbqj.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Use Remote Control,A remote control is an electronic device that is mostly used for operating a device wirelessly. To use a remote control is the act of using a remote control to control various aspects of television.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/user-remote-control_hikwbl.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
z,Z is the twenty-sixth and final letter of the alphabet. Z is also the last letter of the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/z-lower_drcjqh.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Eggplant,"The eggplant, aubergine, melongene, brinjal or guinea squash is a plant of the family Solanaceae (also known as the nightshades) and genus Solanum. It bears a fruit of the same name, commonly used in cooking.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/eggplant_gslmkm.png",Vegetables,Vegetables are parts of plants that are consumed by humans or other animals as food.,Foods,"Delicious foods, including deserts and snacks."
Feet,"Feet are anatomical structures found in vertebrates that allows an animal to walk. Human feet can be sub-divided into the hindfoot, the midfoot, and the forefoot. In total, there are 52 bones in human feet, about a quarter of the total bone count in the human body!","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/feet_utiv6o.png",Body Parts,"Of and relating to the body, including bones, body parts, and facial features.",People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
Penguin,"Penguins are a group of aquatic, flightless birds living almost exclusively in the southern hemisphere, especially in Antarctica. Highly adapted for life in the water, penguins have countershaded dark and white plumage, and their wings have become flippers.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610812/penguin_un3hgo.png",Birds,Animals that belong to the bird kingdom.,Animals,"Animals of all types, including pets and zoon animals."
Toilet Open,"A toilet is a fixture found in the bathroom that is used for the disposal of human waste. There are various types of toilets, including dry toilets, chemical toilets, and pit toilets.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/toilet-open_rbnx3x.png",Bathroom,Items and activities that you would take place or be found in and around the bathroom.,Household,Objects and artefacts that can be found inside the home.
Nurse,A Nurse is a title for a position within the nursing profession.  Nurses focus on health care for individuals and families.  Nurses are often closely associated with physicians  and work within the scope of their direction.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/nurse_f7waew.png",Care Facilities,Care Facilities are places that are responsible for our care and well being. The category contains PECS cards of and related to anything within the care category.,Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Yeah,A slang term for yes or an overwhelming feeling of success or exhilaration.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/yeah_knelra.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
12 o'clock,The 12 o'clock position on a clock is used to indicate the hour of the day or night.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578606983/12-oclock_jtxvqb.png",Time,Time is the indefinite progress of existence and events that occur from the past through the present to the future.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
November,"November is the eleventh month of the year and has a total of 30 days. November in the Northern Hemisphere falls into autumn. In the United States, people celebrate the holiday of Thanksgiving on the 25th of the month.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/november_g3wwss.png",Months,A month is a unit of time that relates to the revolution of the moon. Lunar calendars contain 12 months with an average of 30.5 days per month.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Banana,"Bananas come in a variety of colors and sizes. When ripe, they can be yellow, purple, or red. The Cavendish banana is the most common banana type sold and are a staple starch for many tropical populations.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607789/banana_hyllxt.png",Fruit,Anything that falls into the fruit category.,Foods,"Delicious foods, including deserts and snacks."
Stop!,Stopping is the act of halting one's progress to prevent further movement.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/stop-action_ce6xbj.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
t,T is the 20th letter of the alphabet. T also has the distinction of being the most commonly used consonant and the second most common letter in the English language.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/t-lower_dkr2zu.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Trampoline,"A trampoline is an entertainment device used for bouncing, general entertainment, and gymnastics.  A taught fabric is pulled tight over a steel frame and held in place by coils. This causes the surface to provide bounce when jumped on.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/jump-on-trampoline_p3qe3o.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Cupcake,"A cupcake (also British English: fairy cake; Australian English: patty cake or cup cake) is a small cake designed to serve one person, frequently baked in a small, thin paper or aluminum cup. As with larger cakes, frosting and other cake decorations, such as sprinkles, are common on cupcakes.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610071/cupcake_zgbbxc.png",Desserts,"Delicious desserts, including cakes and pies.",Foods,"Delicious foods, including deserts and snacks."
Stethoscope,"A stethoscope is a metal instrument that is used primarily in the medical field as a way to listen to the internal sounds of a human body. It's most often used to listen to the heart, lungs, and intestines.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/sthethoscope_mtitlr.png",Care Facilities,Care Facilities are places that are responsible for our care and well being. The category contains PECS cards of and related to anything within the care category.,Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Fried Egg,"Fried eggs are a cooked egg dish that are made by frying an egg in a frying pan. As opposed to scrambled eggs, fried eggs are not mixed together. They are cracked into the pan and served ""sunny side up"".","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/fried-egg_wubthw.png",Breakfast,"Breakfast is typically the first meal eaten during the day, most often before startiing the daily routine or work.",Foods,"Delicious foods, including deserts and snacks."
b,"B is the second letter of the alphabet. It's used often as a bilabial consonant, which is a consonant articulated with both lips.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578607568/b-lower_gfdpo9.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Stop,Stopping is the act of halting or hindering the advance of a person or object with the intent of preventing passage.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/stop_f152nm.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Football,A football is an oval-shaped ball that is used in the organized game of Football. Early footballs were made from animal bladders and inflated. Modern footballs are made of premium grade cowhide leather.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/football_shhgfc.png",Sports,Sports refer to the collective forms of competitive activities through causal or organized participation.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Social Studies,"Social studies is the combined study of social sciences and humanity. Studies focus on all aspects of the human society, including local community and family.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/social-studies_munahj.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Drawing,"Drawing is the process of forming a visual piece of art using a drawing instrument, such as a pencil or pen. Drawings can be formed on almost any material, with paper being the most common medium.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610811/drawing_w1mwfm.png",General Actions,All actions that do not fall into one of our specific categories. This is the catch all that contains most action related activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Playground,"A playground is a designated play area that is designed for children to play. Most playground equipment includes slides, seesaws, jungle gyms, and swingsets.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/playground_hunce6.png",Outdoors,"Areas and places that can be found outdoors, such as park or playgrounds.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Students,"A student is someone who studies or attends an educational institute with the intent to learn. Classrooms are made up of students, which is two or more individuals who are focused on learning.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/students_vto748.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Rasberry,"A raspberry is an edible fruit that is part of the Rubus genus species, along with its relative the blackberry. Raspberries are usually red in color, though they can also be yellow, purple, or even black.  Raspberries are commonly used in jams, jellies, and deserts.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/raspberry_irrs9s.png",Fruit,Anything that falls into the fruit category.,Foods,"Delicious foods, including deserts and snacks."
Tweezers,"Tweezers is a small handheld tool that is often used in maintaining personal appearance by pulling and plucking unwanted hairs, often from the facial region. Tweezers are also commonly used to remove splinters.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/tweezers_nb45wx.png",Bathroom,Items and activities that you would take place or be found in and around the bathroom.,Household,Objects and artefacts that can be found inside the home.
Mad,"Anger, or the act of being Mad, is an automatic response to ill treatment. It is the way a person indicates he or she will not tolerate certain types of behaviour. It is a feedback mechanism in which an unpleasant stimulus is met with an unpleasant response.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610810/mad_tldl8x.png",Emotions,"Emotion is a complex psychophysiological experience of an individual's state of mind as interacting with biochemical (internal) and environmental (external) influences. In humans, emotion fundamentally involves ""physiological arousal, expressive behaviors, and conscious experience.""",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Hello,"Hello is an English language greeting or salutation, often used when meeting someone.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/hello_t4ykta.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Nail Biting,"Nail biting, also known as Onychophagia, is a compulsive behavior in both children and adults. The behavior can cause broken skin on the cuticle, which makes the fingers more susceptible to microbial and viral infections.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608068/biting-nails_gxjumh.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Pray,"To Pray, or Praying, is a symbol of worship and communication to a religious deity.  Paying can be individual or communal, spoken or silent, or song or hymn. Most major religions routinely practice pray at their place of worship.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/pray_ys8fzu.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Science,"Science is the reference to a reliable body of knowledge that is in the form of testable explanations and predictions. There are many different forms and paths of science, including library science, political science, and applied science.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/science_o15nal.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Eyes,"Eyes are the complex organs that detect light to allow us to see. The eyes consist of the lens, cornea, iris, retina, vitreous humor, optic nerve, and the aqueous humor.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/eyes_wgve8s.png",Body Parts,"Of and relating to the body, including bones, body parts, and facial features.",People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
x,X is the twenty-fourth letter in the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/x-lower_kgptei.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Wear Helmet,"When you Wear a Helmet you’re protecting your head from possible impact and blunt trauma from a fall or hard hit. Helmets are designed for safety and are worn in most major sports, including baseball, football, and hockey.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/wear-helmet_ci2rsi.png",General Help,"Help is a form of assistance, both self-help and the helping of others. This category includes any action or process which can fall into the category of help.",Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
Turn off,"The action of turning something off, such as a light, by de-activating a power source or trigger.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/turn-off_hzmhb6.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Grilled Cheese,"Grilled cheese is a type of sandwich in which cheese is placed between two pieces of bread and toasted until the cheese has melted. In addition to the cheese, a grilled cheese sandwich may also contain meats, vegetables and condiments.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/grilled-cheese_piuupk.png",Meats and more,"PECS cards of and related to meat, which is animal flesh consumed as food.",Foods,"Delicious foods, including deserts and snacks."
Grocery Store,"A grocery store, or market, is a retail outlet that sells food and non-food items. Grocery stores are where families shop for nutritional necessities, such as fruits, grains, vegetables, and beverages. Modern grocery stores have expanded to include such items as DVDs, music CDs, and even electronics.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/grocery-market_tfpdiw.png",Outdoors,"Areas and places that can be found outdoors, such as park or playgrounds.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Swan,"Swans are birds of the family Anatidae, which also includes geese and ducks. Swans are grouped with the closely related geese in the subfamily Anserinae where they form the tribe Cygnini. Perhaps the best known story about a swan is The Ugly Duckling fairytale. The story centres on a duckling that is mistreated until it becomes evident he is a swan and is accepted into the habitat. He was mistreated because real ducklings are, according to many, more attractive than a cygnet, yet cygnets become swans, which are very attractive creatures. Swans are often a symbol of love or fidelity because of their long-lasting, apparently monogamous relationships.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/swan_stajcj.png",Birds,Animals that belong to the bird kingdom.,Animals,"Animals of all types, including pets and zoon animals."
Toilet,"A toilet is a fixture found in the bathroom that is used for the disposal of human waste. There are various types of toilets, including dry toilets, chemical toilets, and pit toilets.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/toilet_qgjguu.png",Bathroom,Items and activities that you would take place or be found in and around the bathroom.,Household,Objects and artefacts that can be found inside the home.
S,"S is the nineteenth letter of the alphabet. S also represents Sulfur, with an Atomic Number of 16, on the Periodic Table of Elements.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/s-lower_xwfdxv.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Wink,A wink is a facial contortion made by briefly closing one eye and re-opening it while keeping the other eye open. Winks are often a non-verbal communication that signals knowledge of a hidden message or intent between the winker and the wink recipient.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/wink_piq9hz.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Wash Hands,Keeping hands clean is one of the best ways to prevent the spread of infection and illness. Hand washing is easy to do and only take a few seconds to be done properly. Clean hands can stop germs from spreading from one person to another and throughout an entire community.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/wash-hands_g8spu9.png",Personal Care,To care for oneself and personal hygiene.,Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
Sack Lunch,A sack lunch is lunch often prepared at home by a parent and sent to school with their child. Sack lunches provide the parent the benefit of controlling their child's eating habits and supplementing their diet with nutrition that they deem most appropriate.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/sack-lunch_pq4fba.png",Snacks and More,"Food that can be classified in numerous categories, with a main focus on snack foods.",Foods,"Delicious foods, including deserts and snacks."
Sandbox,"A sandbox is a container, typically square, that is filled with sand and is used by children to play. Sandboxes are great sensory tools as well as a fun way to bring the beach experience home.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/sandbox_ou6er3.png",Play,Playing is the act of performing an activity for recreation or pleasure. The word Play is often used by children to describe juvenile-level activities.,Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
